alpha,D,n,trial,t_exhaustive,opt_count,greedy_EFT_count,greedy_EST_count,greedy_SD_count
0.1,10,5,1,0.00011000000085914508,1,1,1,1
0.1,10,5,2,0.00010270000348100439,1,1,1,1
0.1,10,5,3,8.829999569570646e-05,2,2,1,1
0.1,10,5,4,0.00010090000432683155,1,1,1,1
0.1,10,5,5,0.00010310000652680174,1,1,1,1
0.1,10,5,6,0.00010359999578213319,1,1,1,1
0.1,10,5,7,0.00010430000111227855,2,2,2,2
0.1,10,5,8,0.0001049999991664663,2,2,1,1
0.1,10,5,9,0.00010689999908208847,1,1,1,1
0.1,10,5,10,0.00010689999908208847,1,1,1,1
0.1,10,10,1,0.003932200001145247,3,3,1,3
0.1,10,10,2,0.0038120000026538037,2,2,2,2
0.1,10,10,3,0.0033925000025192276,4,4,2,3
0.1,10,10,4,0.003975399995397311,2,2,2,1
0.1,10,10,5,0.003842799997073598,2,2,1,2
0.1,10,10,6,0.003945399999793153,2,2,2,2
0.1,10,10,7,0.004378799996629823,2,2,1,2
0.1,10,10,8,0.004266500000085216,2,2,1,1
0.1,10,10,9,0.0033146000059787184,3,3,2,2
0.1,10,10,10,0.003471999996691011,3,3,2,2
0.1,10,15,1,0.13780599999881815,3,3,2,3
0.1,10,15,2,0.13431419999687932,3,3,2,2
0.1,10,15,3,0.13717399999586632,3,3,2,2
0.1,10,15,4,0.13890539999556495,3,3,3,1
0.1,10,15,5,0.1334971000032965,4,4,2,1
0.1,10,15,6,0.13133379999635508,4,4,2,2
0.1,10,15,7,0.11621150000428315,5,5,5,4
0.1,10,15,8,0.1317062000016449,3,3,2,1
0.1,10,15,9,0.13161889999901177,4,4,3,1
0.1,10,15,10,0.1361343000025954,4,4,2,2
0.1,10,20,1,4.6836559000003035,6,6,4,2
0.1,10,20,2,4.636830000003101,4,4,3,3
0.1,10,20,3,4.654262199997902,6,6,4,5
0.1,10,20,4,4.839413599998807,6,6,5,4
0.1,10,20,5,4.84387229999993,5,5,3,1
0.1,10,20,6,4.882051100001263,4,4,4,2
0.1,10,20,7,4.802235600000131,5,5,3,4
0.1,10,20,8,4.896292799996445,4,4,3,3
0.1,10,20,9,4.819962599998689,5,5,3,3
0.1,10,20,10,4.832572100000107,5,5,4,3
1.0,10,5,1,0.00010489999840501696,3,3,3,2
1.0,10,5,2,8.180000440916047e-05,5,5,5,1
1.0,10,5,3,6.959999882383272e-05,4,4,4,2
1.0,10,5,4,5.129999772179872e-05,4,4,4,2
1.0,10,5,5,5.480000254465267e-05,3,3,3,1
